Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
162,1.62991615870243,0.816912069819093,1.21722615573574,5.43445639575571,5.87444794372241,0.785128866326219,0.024186672669568,0.00066724646504662,0.0318266559400016,0.165111013376049
163,1.86869376693845,1.8567876574352,3.39163071236928,5.27706883164038,5.83132070870889,0.67276465003534,0.0272274116488027,0.000386376506765504,0.0200510667245286,0.281996789261659
164,2.19831401386942,3.09067510016337,4.25648894365217,5.80094466786145,6.140080683078,0.902724597749222,0.026666720693441,0.00126696911663216,0.0168745113455671,0.0514263825521978
165,1.8014311432244,1.15117748046525,2.73734654620409,5.28758947572913,6.02759213979149,0.54042360584109,0.0296931734552016,0.00243263864598784,0.0240444247494825,0.404226472069825
166,1.79326517563758,1.40879816139749,2.26812095882873,5.71308849099112,6.15548718506238,0.870896047341147,0.0210732483995834,0.000586833823298736,0.0241786557375254,0.0819551991194085
167,1.84990929694887,0.811242294198573,1.28344532223805,5.67518076868863,6.0765981582228,0.861520826179544,0.0174858298571908,0,0.0219703467495655,0.0793459365050938
168,2.96420210272722,1.51730483645555,6.15117017726594,7.40568918536022,7.74442996225762,0.956474066825793,0.0197991746624711,0,0.00958661728964127,0.0155579211479572
169,1.80957714168998,1.32241523068469,3.03296809170206,5.2156326906072,5.90449715874091,0.55342484381789,0.0283816223307846,0.000774571379407009,0.0244151804193549,0.3803848804234
170,2.04355359105688,2.46413822346085,3.67475106558459,5.52417636048825,6.70622266244884,0.441395547383647,0.0408695531186587,0.00388834012417139,0.0205980049573572,0.48301855812644
171,1.69532122562336,0.816984837991699,1.78532281006982,5.23894954956321,5.75395335444467,0.712982976605773,0.0251190302293838,0.00205421118643135,0.029192173496087,0.232303034794913
172,1.5969198305973,0.824409362000956,1.11420016048048,5.37746927510261,5.97767645782142,0.8257041004868,0.0226051131416804,0.00219452891650708,0.032076584887433,0.109494881161512
173,1.64434265819077,0.846076302821407,1.18765607610772,5.51785807987596,5.9847097576126,0.851748653178744,0.0179538463271146,0,0.0328954516380097,0.103196080788453
174,1.97833514761283,2.37078307950969,3.43758248820316,5.72774349487026,6.37568325257463,0.374331288204567,0.0426775691213966,0.000651307667599231,0.0310363807993642,0.548089151911423
175,2.00964970311563,2.46392247398085,3.25661485885877,6.2116309972087,6.64781234709067,0.86586177864971,0.0192814586347713,0.000782495942125863,0.0238094388813803,0.0835699509510607
176,1.70040932213282,0.873576629303704,1.17443899211531,5.55363322544931,6.05915053414703,0.868957977800989,0.0177379654287333,0,0.0262822709574038,0.0694420636668683
177,1.72722652801001,1.81791688184454,2.94190234181312,5.31715382496805,5.81942773267213,0.859983885073832,0.0238536741727056,0,0.0301295330391311,0.0987981287301491
